slug,maker,models,group,element,gr_target_db,hz,gr_db
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,100.0,9.953
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,1000.0,9.971
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,10000.0,9.967
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,125.0,9.958
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,1250.0,9.967
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,12500.0,9.966
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,160.0,9.961
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,1600.0,9.947
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,200.0,9.964
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,2000.0,9.967
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,250.0,9.965
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,2500.0,9.966
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,31.5,9.843
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,315.0,9.966
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,3150.0,9.966
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,40.0,9.884
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,400.0,9.967
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,4000.0,10.035
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,50.0,9.913
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,500.0,9.967
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,5000.0,9.971
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,63.0,9.932
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,630.0,9.967
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,6300.0,9.965
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,80.0,9.945
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,800.0,9.964
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,8000.0,9.23
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,100.0,14.554
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,1000.0,14.577
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,10000.0,14.582
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,125.0,14.561
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,1250.0,14.572
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,12500.0,14.571
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,160.0,14.565
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,1600.0,14.564
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,200.0,14.568
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,2000.0,14.582
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,250.0,14.57
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,2500.0,14.571
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,31.5,14.409
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,315.0,14.571
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,3150.0,14.572
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,40.0,14.463
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,400.0,14.571
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,4000.0,14.631
