slug,maker,models,group,element,gr_target_db,hz,thd_pct,h2,h3,h4,h5,h6,h7,h8
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,1000.0,0.10399392788569237,-61.09176956394826,-66.61096585169504,-73.73809490444712,-76.6785985355717,-79.31102707422572,-81.8694493414497,-84.5127843893274
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,220.0,0.3304382874485232,-51.51383612599392,-56.670360744435726,-60.68787710824697,-63.657413180872176,-66.34785814287845,-68.98854859293888,-71.73764420558302
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,5000.0,0.07705981343473557,-63.30696229094868,-69.06740257798079,-85.4033453783005,,,,
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,60.0,1.1648306471844891,-40.59904995193022,-45.74983344101207,-49.56814333003236,-52.5757987079292,-55.28949706111855,-57.96680145470684,-60.79707754602735
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,1000.0,0.12556958823967648,-59.34141399170994,-65.46296639299209,-71.82461931173219,-74.89052703337192,-77.68585496051672,-80.45387599082889,-83.37073667951776
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,220.0,0.4144145217357946,-49.48705915423623,-54.75911565074976,-58.77462682433365,-61.86411679069874,-64.7134437240443,-67.56090482864792,-70.57989311044936
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,5000.0,0.089742272567472,-61.767519252435086,-68.6904564519868,-83.44743932573856,,,,
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,60.0,1.4665162518674784,-38.536604112574075,-43.7669241075539,-47.66409372546309,-50.79861798416285,-53.68196046993478,-56.58496019384489,-59.704018738998805
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,3.0,1000.0,0.06022697195118168,-65.20534534539178,-73.12023184889254,-82.5448565500106,-85.16703842405047,-87.35174098195957,-89.34502292953007,-91.28740760522744
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,3.0,220.0,0.12516848711931747,-59.86056139133676,-65.4070266046139,-69.50610265539902,-72.14807800838769,-74.3859416395116,-76.45797669910182,-78.50940550997025
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,3.0,5000.0,0.05490830505815161,-65.78373904638782,-74.30850031192173,-94.00285364296865,,,,
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,3.0,60.0,0.41278199672466626,-49.79842555753584,-54.75376306584692,-58.32489042861152,-60.9955862087964,-63.23881716846312,-65.30399276269499,-67.39809829983268
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,1000.0,0.08581970154140167,-62.630120574378495,-68.4826286930289,-76.3021097864196,-79.12526604834565,-81.59702232825668,-83.94963521776525,-86.33253190648553
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,220.0,0.24624278536721877,-54.09773410556249,-59.235967667078384,-63.249129443312086,-66.09825277418615,-68.62465122353719,-71.05630302295368,-73.54204535863283
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,5000.0,0.06866597334751921,-64.21054933525926,-70.42755728955045,-87.9307621751871,,,,
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,60.0,0.8597030228525145,-43.30534063247522,-48.37698450810575,-52.10459474831178,-54.986703375004886,-57.527731084021184,-59.97885651388167,-62.53015554897256
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,1000.0,0.34189032784477635,-53.54750385726078,-51.51304767838339,-72.45712495054057,-69.75980645518791,-78.56443927631642,-75.07384381244138,-83.05366987342359
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,220.0,0.48059672968918493,-49.52080201245036,-50.065810636845185,-60.07021169510032,-62.882039800250844,-65.4490757783065,-66.87872216801559,-70.36898133054676
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,5000.0,0.3320918222143529,-53.8833146379248,-51.5945242723545,-79.21703438024656,,,,
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,60.0,1.2920707428401457,-40.1416713911141,-43.47997133107414,-48.99810113596988,-52.49107071682552,-54.4173769786711,-56.3853502621172,-59.451267774445256
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,1000.0,0.18996509091603822,-61.10390988393877,-55.77725040504079,-70.36754042580114,-73.4187217647834,-76.39005742767165,-76.69720025453722,-81.37232408909915
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,220.0,0.4897404890797692,-48.665769815733675,-51.558822792820195,-57.654310053609514,-60.89883250653651,-63.33660212376154,-65.60611040156495,-68.66819935534647
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,5000.0,0.1611064811075435,-68.26843069011336,-56.1377877899021,-78.82839806756603,,,,
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,60.0,1.6745212140882155,-37.54895046940105,-42.11446789367849,-46.573456592769006,-49.859028844707964,-52.342738279931766,-54.8247708580915,-57.830600495120656
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,3.0,1000.0,0.48277633786516566,-47.591946341916376,-52.3895257515207,-78.76196511218845,-70.23395129947598,-86.26577999067024,-77.65506355561241,-89.33892802073215
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,3.0,220.0,0.4980920226134479,-47.406991777574284,-52.07571936833719,-67.99041240034546,-68.00357845528276,-72.96319670857591,-72.79484240587661,-76.77289162453421
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,3.0,5000.0,0.4809114651300189,-47.60099065384833,-52.405343727445015,-82.06507564042198,,,,
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,3.0,60.0,0.6641122882405168,-45.53931946896371,-49.2941414988324,-56.965693595747,-60.13315144166014,-61.80209267212297,-63.02755366342366,-65.67706554693666
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,6.0,1000.0,0.5053578735279234,-47.277855016645454,-51.76687666881997,-75.27921681708712,-69.85290399971892,-82.20621413551405,-76.31599553753895,-85.84106569548796
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,6.0,220.0,0.5453607276723387,-46.78528865626434,-51.075623858037986,-63.79737904760513,-65.6292818705746,-68.97235475784528,-69.70788012430374,-73.23602085935865
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,6.0,5000.0,0.502207130728257,-47.30333743398249,-51.80209798383572,-79.6299609401697,,,,
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,6.0,60.0,0.9117190033661158,-43.03679492210623,-46.50991118250617,-52.7564085825141,-56.156574877877176,-57.8745906093519,-59.44483657048508,-62.22255846717937
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,1000.0,0.09559325891291223,-62.80948632846963,-65.73611116581048,-72.092671638146,-75.10452802198336,-77.78741018674663,-80.40001679967199,-83.16821040144156
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,220.0,0.39752887616407695,-49.91433932587335,-55.034268614133886,-59.035708566371355,-62.08317885869378,-64.81143324482797,-67.51230578575813,-70.40441643939354
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,5000.0,0.043072504131243895,-72.64107443896744,-68.96116913303213,-83.91040500322572,,,,
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,60.0,1.431713341728814,-38.73930287463578,-44.01715492207974,-47.90822392118902,-51.01893019280907,-53.75934150420193,-56.50796676987965,-59.55909992647463
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,15.0,1000.0,0.14371246170704471,-57.98514713522071,-65.02568082841292,-70.83756460590844,-73.94654363670489,-76.75376397362056,-79.52679171089477,-82.51080734276981
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,15.0,220.0,0.4763181424454589,-48.15969954381407,-53.77350830377161,-57.78386667404323,-60.923356516847285,-63.772280440427814,-66.63350551067838,-69.74236314769313
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,15.0,5000.0,0.10346790281100501,-60.26880442401528,-69.02745213383746,-82.61269060757397,,,,
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,15.0,60.0,1.6830734302811154,-37.24028072636627,-42.72420295738469,-46.67569876907837,-49.87980512008032,-52.7429509624519,-55.6677957829958,-58.95270252301672
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,3.0,1000.0,0.061188792982877376,-65.2185275932145,-72.38261076141856,-81.42354712456365,-84.08310829593714,-86.26320164120332,-88.24227406748314,-90.22946270062448
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,3.0,220.0,0.13923314611343318,-59.04137118255118,-64.2752065769801,-68.36798289481618,-71.06288363336259,-73.28755639324547,-75.35003487488056,-77.45970498997643
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,3.0,5000.0,0.054142737127111394,-66.01601790417641,-73.72697073820412,-93.13505880695466,,,,
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,3.0,60.0,0.47094232009828235,-48.67253065384763,-53.53192831045321,-57.16271034118958,-59.916928604881676,-62.131304000966516,-64.15769263070202,-66.34425549474109
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,6.0,1000.0,0.06871077180216627,-65.57372240346997,-68.57126759301983,-75.7128892534524,-78.55642827355857,-81.00343766842201,-83.31439928518847,-85.70178756888262
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,6.0,220.0,0.25757393457796557,-53.80764505729686,-58.693249854844964,-62.654044392425455,-65.53228341592822,-68.02258672411645,-70.41740306589722,-72.92337742020109
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,6.0,5000.0,0.04068199582508539,-70.76460478776264,-70.97634746595472,-87.49865707288455,,,,
