slug,maker,models,group,setting,condition,hz,level_dbfs,rms_dbfs,a_weighted_dbfs
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,100.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,1000.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,10000.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,125.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,1250.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,12500.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,160.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,1600.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,16000.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,20.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,200.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,2000.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,20000.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,25.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,250.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,2500.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,31.5,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,315.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,3150.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,40.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,400.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,4000.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,50.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,500.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,5000.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,63.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,630.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,6300.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,80.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,800.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,silence,8000.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,under_tone_-12,100.0,-154.1,-98.2,-106.25
