slug,maker,models,group,setting,level_dbfs,crest_in_db,crest_out_db,crest_change_db,slew_index,click_peak_gain_db,tone_gain_db,square_slope_ratio,sine_slope_ratio
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,-12.0,36.224,36.299,0.075,0.85579,9.146,9.194,2.58369,3.01907
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,-24.0,36.224,36.302,0.077,0.85998,9.136,9.184,2.58076,3.00097
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,-3.0,36.224,36.298,0.074,0.85598,9.148,9.196,2.58448,3.01933
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,-6.0,36.224,36.298,0.074,0.85594,9.147,9.196,2.58426,3.01919
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,-12.0,36.224,36.293,0.069,0.8495,21.134,21.176,10.23827,12.05214
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,-24.0,36.224,36.294,0.07,0.84927,21.132,21.174,10.23428,12.05066
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,-3.0,36.224,34.675,-1.55,0.38948,15.223,15.25,4.68321,12.02431
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,-6.0,36.224,35.318,-0.907,0.53788,18.271,18.217,6.46786,12.02483
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,-12.0,36.224,36.296,0.071,0.85163,15.137,15.179,5.13884,6.0341
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,-24.0,36.224,36.297,0.073,0.8521,15.132,15.174,5.13571,6.02712
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,-3.0,36.224,36.23,0.005,0.73087,15.024,15.161,4.41053,6.03463
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,-6.0,36.224,36.295,0.071,0.85173,15.138,15.18,5.13969,6.03441
aw_calibre,Airwindows,Calrec-ish console,aw-console,drive_0,-12.0,36.224,4.758,-31.467,0.06504,-133.277,-133.277,0.0,0.0
aw_calibre,Airwindows,Calrec-ish console,aw-console,drive_0,-24.0,36.224,4.759,-31.465,0.06509,-121.277,-121.277,0.0,1e-05
aw_calibre,Airwindows,Calrec-ish console,aw-console,drive_0,-3.0,36.224,4.791,-31.434,0.06538,-142.277,-142.277,0.0,0.0
aw_calibre,Airwindows,Calrec-ish console,aw-console,drive_0,-6.0,36.224,4.767,-31.458,0.06503,-139.277,-139.277,0.0,0.0
