slug,maker,models,group,element,gr_target_db,level_dbfs,out_db,gain_db,gr_db
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,-12.0,-20.016,-8.016,9.967
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,-15.0,-20.609,-5.609,7.56
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,-18.0,-21.28,-3.28,5.231
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,-21.0,-22.072,-1.072,3.023
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,-24.0,-23.152,0.848,1.103
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,-27.0,-25.05,1.95,0.001
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,-3.0,-18.463,-15.463,17.414
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,-30.0,-28.049,1.951,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,-36.0,-34.049,1.951,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,-42.0,-40.049,1.951,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,-48.0,-46.049,1.951,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,-54.0,-52.049,1.951,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,-6.0,-18.97,-12.97,14.921
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,-9.0,-19.465,-10.465,12.416
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,0.0,-17.921,-17.921,19.872
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,-12.0,-19.041,-7.041,14.583
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,-15.0,-19.536,-4.536,12.078
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,-18.0,-20.093,-2.093,9.635
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,-21.0,-20.695,0.305,7.237
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,-24.0,-21.379,2.621,4.921
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,-27.0,-22.199,4.801,2.741
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,-3.0,-17.518,-14.518,22.06
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,-30.0,-23.332,6.668,0.874
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,-36.0,-28.459,7.541,0.001
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,-42.0,-34.458,7.542,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,-48.0,-40.458,7.542,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,-54.0,-46.458,7.542,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,-6.0,-18.008,-12.008,19.55
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,-9.0,-18.532,-9.532,17.074
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,0.0,-17.001,-17.001,24.543
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,3.0,-12.0,-20.767,-8.767,6.974
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,3.0,-15.0,-21.462,-6.462,4.669
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,3.0,-18.0,-22.311,-4.311,2.518
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,3.0,-21.0,-23.489,-2.489,0.696
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,3.0,-24.0,-25.794,-1.794,0.001
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,3.0,-27.0,-28.793,-1.793,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,3.0,-3.0,-19.098,-16.098,14.305
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,3.0,-30.0,-31.793,-1.793,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,3.0,-36.0,-37.793,-1.793,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,3.0,-42.0,-43.793,-1.793,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,3.0,-48.0,-49.793,-1.793,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,3.0,-54.0,-55.793,-1.793,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,3.0,-6.0,-19.606,-13.606,11.813
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,3.0,-9.0,-20.157,-11.157,9.364
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,3.0,0.0,-18.585,-18.585,16.792
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-12.0,-20.767,-8.767,6.974
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-15.0,-21.462,-6.462,4.669
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-18.0,-22.311,-4.311,2.518
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-21.0,-23.489,-2.489,0.696
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-24.0,-25.794,-1.794,0.001
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-27.0,-28.793,-1.793,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-3.0,-19.098,-16.098,14.305
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-30.0,-31.793,-1.793,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-36.0,-37.793,-1.793,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-42.0,-43.793,-1.793,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-48.0,-49.793,-1.793,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-54.0,-55.793,-1.793,0.0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-6.0,-19.606,-13.606,11.813
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,-9.0,-20.157,-11.157,9.364
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,0.0,-18.585,-18.585,16.792
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-12.0,-28.116,-16.116,10.37
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-15.0,-28.584,-13.584,7.838
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-18.0,-29.108,-11.108,5.362
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-21.0,-29.774,-8.774,3.028
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-24.0,-30.635,-6.635,0.889
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-27.0,-32.769,-5.769,0.023
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-3.0,-26.845,-23.845,18.099
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-30.0,-35.762,-5.762,0.016
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-36.0,-41.753,-5.753,0.007
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-42.0,-47.749,-5.749,0.003
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-48.0,-53.747,-5.747,0.001
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-54.0,-59.746,-5.746,0.0
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-6.0,-27.258,-21.258,15.512
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,-9.0,-27.66,-18.66,12.914
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,0.0,-26.47,-26.47,20.724
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,-12.0,-27.341,-15.341,14.994
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,-15.0,-27.753,-12.753,12.406
